,YEAR,X,Y,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY
334,1975,680201.4956689404,6472557.374760954,1.0,0.0
335,1975,684577.6909593898,6471831.299127297,0.0,0.0
336,1975,681108.5189790387,6474320.405926361,1.0,0.0
337,1976,678364.7485096083,6474418.462991216,1.0,0.0
338,1976,677032.706922501,6470492.731044684,0.0,0.0
339,1977,679717.4799590547,6474542.486770868,0.0,0.0
340,1977,676449.9920663123,6474416.993225077,1.0,0.0
341,2007,680801.4474982411,6477032.260741008,1.0,0.0
342,2014,676450.2312887479,6474549.184421137,0.0,0.0
343,1987,675658.7924212413,6471065.224198953,0.0,0.0
344,1988,681391.2737726811,6483124.26534359,0.0,0.0
345,1989,676437.6657122849,6474541.745119362,0.0,0.0
346,1991,682041.9146430986,6476236.23267675,0.0,0.0
347,1995,683110.162433719,6482929.925599173,0.0,0.0
348,1995,686441.2233903783,6470971.630292431,1.0,0.0
349,1995,686441.2233903783,6470971.630292431,1.0,0.0
350,1992,679675.9022741124,6473909.8985191975,1.0,0.0
351,1984,690988.4282849353,6479007.3611576585,1.0,0.0
352,1984,688449.6234530092,6478993.015819798,1.0,0.0
353,1985,692996.9146994769,6478630.722893213,1.0,0.0
354,1986,696940.2457645868,6477086.072334862,1.0,0.0
355,1986,696939.7317805521,6477093.166039963,0.0,1.0
356,1988,696581.1416189148,6480912.958133139,1.0,0.0
357,1988,689683.4533011589,6484255.42030931,1.0,0.0
358,1988,692251.2425617203,6482024.86472604,0.0,0.0
359,1973,690715.273188067,6484381.715656986,1.0,0.0
360,1973,689098.3566588432,6486452.006674944,1.0,0.0
361,1988,696577.0822605051,6480916.912762039,1.0,0.0
362,1988,696577.0822605051,6480916.912762039,1.0,0.0
363,1989,696571.5738825395,6480915.516697144,1.0,0.0
364,1989,696578.5597094093,6480908.369421475,1.0,0.0
365,1989,693476.9356297373,6479751.395150932,1.0,0.0
366,1990,695127.3976336963,6473250.2106989445,1.0,0.0
367,1990,695127.3976336963,6473250.2106989445,1.0,0.0
368,1990,687814.373010138,6475480.99155292,1.0,1.0
369,1991,687328.0905230127,6477850.130164502,1.0,0.0
370,2005,697970.1679616127,6483358.556272792,0.0,0.0
371,1973,689914.505772253,6482312.422735666,1.0,0.0
372,1973,691649.2179359875,6487257.6802184405,1.0,0.0
373,1973,692380.8901007428,6483890.372282361,1.0,0.0
374,1973,687336.3828151859,6485577.304766959,1.0,0.0
375,1974,688268.4734518182,6481275.763083763,1.0,0.0
376,1975,697253.1531646915,6474622.858323127,0.0,0.0
377,1976,697253.1531646915,6474622.858323127,0.0,1.0
378,1982,690255.5031054751,6477892.748736022,1.0,0.0
379,2012,696154.8384271214,6489023.258404864,1.0,0.0
380,2012,696154.8384271214,6489023.258404864,1.0,0.0
381,1974,699274.8728555855,6484654.056312935,1.0,0.0
382,1976,703652.239867165,6480735.07628354,1.0,0.0
383,2008,702821.6006234186,6480607.895614944,1.0,1.0
384,2012,702428.1004684567,6477054.917336453,1.0,0.0
385,1986,700218.518453759,6477077.760453898,1.0,0.0
386,1989,701190.8540767692,6480991.296954923,1.0,0.0
387,1992,703799.3295209247,6480063.183641987,0.0,0.0
388,2000,705171.7541685903,6477896.1614706,1.0,0.0
389,2001,705171.7541685903,6477896.1614706,0.0,0.0
390,2003,698582.5794114015,6487245.035852129,0.0,0.0
391,2005,705276.1319279524,6488322.122166866,1.0,1.0
392,1985,705788.6430658654,6486206.597809098,1.0,0.0
393,1985,701559.8108586873,6487294.120926359,0.0,0.0
394,1985,702683.5560136534,6488136.139600612,0.0,0.0
395,1974,713120.3527698873,6480651.92691554,0.0,0.0
396,1974,713335.740893162,6489127.34522225,1.0,0.0
397,1976,713481.323844482,6479239.417795715,1.0,0.0
398,1984,712003.4703450542,6473398.996676326,1.0,0.0
399,1986,714830.5939092573,6477980.379236498,0.0,0.0
400,1993,720380.3454743519,6472206.6835349295,0.0,0.0
401,1996,719609.1182850504,6475850.186501022,0.0,0.0
402,1998,717465.4314772983,6482770.434906212,0.0,0.0
403,1998,710375.0367149871,6481939.780672134,1.0,1.0
404,2007,711722.9586130119,6487533.697916363,1.0,1.0
405,2010,711515.3782325471,6476049.358419932,0.0,0.0
406,2014,719478.0138293561,6474060.817162837,0.0,0.0
407,2014,719495.043849118,6474035.949130709,0.0,0.0
408,1975,731125.131150912,6489145.273352511,1.0,0.0
409,1975,729895.34745858,6476035.867292735,1.0,0.0
410,1990,727363.478689674,6484142.517672568,1.0,0.0
411,2003,730064.02146997,6477814.528911539,1.0,0.0
412,2004,727579.3259207408,6477664.586749028,1.0,0.0
413,2006,731871.1331667282,6475933.056736195,1.0,0.0
414,2012,727043.6387104226,6476574.792929727,1.0,0.0
415,2012,727043.6387104226,6476574.792929727,0.0,0.0
416,2014,727018.6780163072,6476566.4989309255,0.0,0.0
417,2014,727018.6780163072,6476566.4989309255,1.0,0.0
418,2014,727018.6780163072,6476566.4989309255,1.0,0.0
419,1997,726787.7120275983,6477331.252471629,1.0,0.0
420,1990,730148.5344988413,6488862.587448048,0.0,0.0
421,1997,726794.705194345,6477325.766462174,1.0,0.0
422,1990,730649.2956829661,6489099.813950974,1.0,0.0
423,1990,729556.1577566683,6487169.132289683,0.0,0.0
424,1997,731617.6200452474,6478328.767863832,1.0,0.0
425,2008,727052.4316852987,6476383.814048698,0.0,0.0
426,1992,732809.1590527352,6475242.094141988,1.0,0.0
427,2004,726159.6240097439,6475302.625734747,1.0,0.0
428,2005,724743.5404408129,6477390.620672095,1.0,0.0
429,2010,724739.6017081668,6477487.01802078,0.0,0.0
430,2010,724739.6017081668,6477487.01802078,1.0,0.0
431,1973,681106.2560033904,6457574.827038227,1.0,1.0
432,1975,680281.7261318518,6463031.699659011,1.0,0.0
433,1975,682157.8136819628,6453069.757569622,1.0,0.0
434,1977,682599.7607519162,6454809.455815396,1.0,0.0
435,1977,678609.2508436507,6456491.787911604,0.0,0.0
436,1977,683105.8279013453,6459986.912390024,0.0,0.0
437,1984,680759.9171101509,6453544.294435473,1.0,0.0
438,1984,683790.8240524549,6454844.47389593,1.0,0.0
439,1984,684577.2410243056,6454179.5124408975,0.0,0.0
440,1984,684561.7011010404,6454190.399255127,1.0,0.0
441,1984,685611.6165464427,6453936.728759216,0.0,0.0
442,1987,687349.0296461376,6463088.421234709,1.0,0.0
443,1988,686425.3848204053,6464478.485916948,1.0,1.0
444,1988,686756.329398753,6462162.009949866,1.0,0.0
445,1988,685235.4568988971,6465032.996697251,1.0,0.0
446,1988,686628.1366915482,6465618.152829576,1.0,0.0
447,1988,681091.7372189474,6461774.11615048,0.0,0.0
448,1989,681091.7372189474,6461774.11615048,1.0,0.0
449,1989,686316.4396282254,6466266.60614526,1.0,0.0
450,1989,686316.4396282254,6466266.60614526,1.0,0.0
451,1989,684175.8786956798,6454958.710438114,0.0,0.0
452,2014,684145.9407916174,6454947.343115711,0.0,0.0
453,1991,685320.7454418843,6461236.315695136,1.0,0.0
454,1991,687183.9998021758,6459890.028585273,1.0,0.0
455,1992,684248.6575246982,6460452.029424502,1.0,0.0
456,1993,682702.2414685031,6459110.822047915,1.0,0.0
457,1995,682704.4331832041,6459095.787220978,0.0,0.0
458,1995,687869.1540625305,6453950.942639609,0.0,0.0
459,2008,683069.0876690259,6460744.0756772505,1.0,0.0
460,2012,681537.1169359452,6461194.0949064335,0.0,0.0
461,1983,683749.9064623249,6469258.151215985,1.0,0.0
462,1987,680951.111139799,6454110.228736408,1.0,0.0
463,1984,680049.6314873166,6454555.065062051,0.0,0.0
464,1999,683483.0570934551,6456174.801959914,1.0,0.0
465,1988,681387.2234021993,6455974.014294684,0.0,0.0
466,1989,678483.3313250726,6457796.203429483,0.0,0.0
467,1992,677158.690992034,6459752.824001866,1.0,0.0
468,1992,677733.8921183838,6467720.441505797,1.0,0.0
469,1992,677733.8921183838,6467720.441505797,1.0,0.0
470,1992,677733.8921183838,6467720.441505797,1.0,0.0
471,1993,685186.671843988,6458662.491184246,1.0,0.0
472,2005,679269.2049372573,6469356.632202869,1.0,0.0
473,1993,683931.6205732403,6458183.23404338,1.0,0.0
474,1994,678154.9296113504,6457505.739244924,0.0,0.0
475,2005,676939.7982403066,6468120.4562914735,1.0,0.0
476,1974,689606.5215660415,6458882.96756647,0.0,1.0
477,1991,693104.2611054501,6457783.472317087,1.0,0.0
478,1992,690950.5310490376,6457677.38093154,1.0,0.0
479,1993,693754.6828707373,6457231.588593888,1.0,1.0
480,1993,693754.6828707373,6457231.588593888,1.0,1.0
481,1994,689847.5439020237,6458504.690153582,0.0,1.0
482,1997,694904.2738130861,6461024.337479458,0.0,0.0
483,2002,698975.4732147926,6461152.788355905,1.0,0.0
484,2013,697258.2102373312,6460764.481480112,1.0,0.0
485,2005,697258.2102373312,6460764.481480112,0.0,0.0
486,1975,692757.6278910772,6456370.334079232,1.0,0.0
487,1978,687635.9222566512,6464434.053644201,0.0,0.0
488,1984,689378.9065803865,6462630.876559374,1.0,1.0
489,1985,689381.251659227,6462634.055828376,0.0,0.0
490,1988,690066.8164211179,6467329.5232610125,0.0,0.0
491,1988,690066.8164211179,6467329.5232610125,1.0,0.0
492,1988,689621.4161267225,6464541.425478027,1.0,0.0
493,1988,690691.7846594637,6465621.526348976,1.0,0.0
494,1990,688906.3236309574,6460630.32891787,1.0,0.0
495,1990,688906.3236309574,6460630.32891787,1.0,0.0
496,1996,688275.3446411681,6459681.079904616,0.0,1.0
497,1998,688275.3446411681,6459681.079904616,1.0,0.0
498,2001,687621.3538898512,6465301.700830559,1.0,0.0
499,1998,687619.1075444447,6465300.571624003,1.0,0.0
500,1974,703192.8625866724,6465911.324536916,1.0,0.0
501,1974,703192.8625866724,6465911.324536916,1.0,0.0
502,1976,706858.2292757477,6463979.757923055,1.0,0.0
503,1977,701104.6860603122,6457531.002239662,0.0,0.0
504,1977,700986.5424391058,6468063.187332209,1.0,0.0
505,1978,701216.3030705787,6465872.807238784,0.0,0.0
506,1978,706793.7415242025,6470055.718175436,1.0,0.0
507,1991,707568.9840653201,6467449.175924943,1.0,0.0
508,1991,707568.98482674,6467449.172618484,1.0,0.0
509,1991,706624.1513777169,6464509.174859951,1.0,0.0
510,1983,704426.3664748204,6465209.621796368,1.0,0.0
511,2013,700916.6521439851,6466677.515670269,1.0,0.0
512,2013,700244.1065608338,6467071.318977474,1.0,0.0
